feature,area,question,total_yes_percent,total_no_percent,total_a_doctor_s_office_or_health_maintenance_organization_hmo_percent,total_a_health_department_percent,total_a_hospital_example_inpatient_percent,total_a_school_percent,total_a_senior_recreation_or_community_center_percent,total_a_store_examples_supermarket_drug_store_percent,total_an_emergency_room_percent,total_another_type_of_clinic_or_health_center_example_a_community_health_center_percent,total_received_vaccination_in_canada_mexico_percent,total_workplace_percent,total_some_other_kind_of_place_percent,total_current_percent,total_former_percent,total_never_percent,total_obese_percent,total_overweight_percent,total_neither_overweight_or_obese_percent,total_normal_percent,total_underweight_percent,total_extremely_obese_percent,total_within_the_past_year_anytime_less_than_12_months_ago_percent,total_within_the_past_2_years_1_year_but_less_than_2_years_ago_percent,total_within_the_past_3_years_2_years_but_less_than_3_years_ago_percent,total_within_the_past_5_years_3_years_but_less_than_5_years_ago_percent,total_5_or_more_years_ago_percent,total_10_or_more_years_ago_percent,total_within_the_past_10_years_5_years_but_less_than_10_years_ago_percent,total_yes_but_female_told_only_during_pregnancy_percent,total_no_pre_diabetes_or_borderline_diabetes_percent,total_41_percent,total_41_64_percent,total_65_percent,total_within_the_past_month_anytime_less_than_1_month_ago_percent,total_within_the_past_year_1_month_but_less_than_12_months_ago_percent,total_2_or_more_years_ago_percent,total_yes_only_one_percent,total_more_than_one_percent,total_within_past_year_anytime_less_than_12_months_ago_percent,total_within_past_2_years_1_year_but_less_than_2_years_ago_percent,total_within_past_5_years_2_years_but_less_than_5_years_ago_percent,total_poor_percent,total_fair_percent,total_good_percent,total_very_good_percent,total_excellent_percent,total_fair_or_poor_health_percent,total_good_or_better_health_percent,total_5_or_more_days_percent,total_none_to_less_than_5_days_percent,total_14_or_more_days_percent,total_none_to_less_than_14_days_percent,total_1_to_4_miles_percent,total_5_to_9_miles_percent,total_10_to_14_miles_percent,total_15_to_20_miles_percent,total_21_to_50_miles_percent,total_more_than_50_miles_percent,total_none_or_less_than_5_days_percent,total_none_or_less_than_14_days_percent,total_1_to_5_percent,total_6_or_more_but_not_all_percent,total_all_percent,total_none_percent,total_within_the_past_5_years_2_years_but_less_than_5_years_ago_percent,total_yes_during_pregnancy_percent,total_always_percent,total_nearly_always_percent,total_sometimes_percent,total_seldom_percent,total_never_drive_or_ride_in_a_car_percent,total_every_day_percent,total_some_days_percent,total_not_at_all_percent,total_current_smoker_every_day_percent,total_current_smoker_some_days_percent,total_former_smoker_percent,total_never_smoker_percent,total_within_the_past_month_less_than_1_month_ago_percent,total_within_the_past_3_months_1_month_but_less_than_3_months_ago_percent,total_within_the_past_6_months_3_months_but_le8ss_than_6_months_ago_percent,total_within_the_past_year_6_months_but_less_than_1_year_ago_percent,total_within_the_past_5_years_1_year_but_less_than_5_years_ago_percent,total_10_years_or_more_percent,total_never_smoked_regularly_percent
CVD,8,Stroke,2.4%,97.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPD,8,Chronic Obstructive Pulmonary Disease (COPD),5.0%,95.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOBT Past Yr,8,"Blood Stool Test in the Past 2 Years, Age 50+",86.8%,13.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOBT Past Yr,8,"Blood Stool Test in the Past 3 Years, Age 50-75",85.5%,14.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOBT Past Yr,8,"Blood Stool Test in the Past Year, Age 50-75",92.7%,7.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Col Past 10 Yrs 50-75,8,"Colonoscopy in the Past 10 Years, Age 50-75",37.8%,62.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ever Had Blood Stool Test,8,Ever Had Blood Stool Test,28.9%,71.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigm Past 5 Yrs Age 50-75,8,"Sigmoidoscopy in the Past 5 Years and Blood Stool Test in the Past 3 Years, Age 50-75",99.9%,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigm Past 5 Yrs Age 50-75,8,"Sigmoidoscopy in the Past 5 Years, Age 50-75",97.6%,2.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DurationHomeBloodStoolTest,8,Time Since Blood Stool Test,,,,,,,,,,,,,,,,,,,,,,,26.3%,19.6%,10.3%,10.8%,33.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DurationClnscpySgmy,8,Time Since Last Sigmoidoscopy or Colonoscopy,,,,,,,,,,,,,,,,,,,,,,,25.1%,17.7%,15.8%,19.8%,,4.7%,16.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up-To-Date CRC Scrn Age 50-7,8,"Up-To-Date On Colorectal Cancer Screening, Age 50-75",34.7%,65.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depressive Disorder,8,Depressive Disorders,15.7%,84.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes Status,8,Diabetes,14.5%,82.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4%,1.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes Status,8,Diabetes Status,14.5%,85.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A One C,8,A1C Test the Past Year,80.2%,19.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes,8,Age When Diagnosed With Diabetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8%,65.5%,14.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes,8,Blood Checked for Sugar,52.5%,47.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes,8,Doctor Checked Feet,60.0%,40.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes,8,Doctor Seen for Diabetes,85.9%,14.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes,8,Ever Attended Diabetes Education,42.2%,57.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes,8,Ever Told Diabetes Affected Eyes,23.8%,76.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes,8,Feet Checked for Sores,50.0%,50.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insulin,8,Taking Insulin,25.6%,74.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes Eye Exam,8,Time Since Last Eye Exam,,,,,,,,,,,,,,,,9.3%,,,,,,,,9.3%,,,,,,,,,,,17.6%,51.3%,12.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blind,8,Blind or Have Serious Difficulty Seeing,4.7%,95.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disability Status,8,Disability Status,22.0%,78.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difficulty Doing Errands Alo,8,Have Difficulty Doing Errands Alone,6.6%,93.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difficulty Concentrating,8,"Have Serious Difficulty Concentrating, Remembering, or Making Decisions",10.3%,89.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difficulty Dressing,8,Have Serious Difficulty Dressing or Bathing,4.2%,95.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difficulty Walking,8,Have Serious Difficulty Walking or Climbing Stairs,15.1%,84.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any Drinking Past Month,8,Drinking and Driving in the Past Month,3.6%,96.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leisure Time PA,8,Leisure Time Physical Activity,71.7%,28.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mammogram Past 2 Yrs 40+,8,"Had A Fall in the Past Year, Age 45+",28.0%,72.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Care Provider,8,Have At Least One Personal Doctor,67.4%,32.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Care Provider,8,Have Personal Doctor,,32.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.5%,9.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Care Coverage,8,Health Care Coverage,75.7%,24.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Care Coverage Age 18-,8,"Health Care Coverage, Age 18-64",70.8%,29.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Cost,8,Medical Cost,18.3%,81.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Routine Checkup,8,Routine Checkup in the Past Year,67.5%,32.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Routine Checkup,8,Time Since Routine Checkup,,,,,,,,,,,,,,,,2.2%,,,,,,,,,,,8.9%,,,,,,,,,,,,,67.5%,12.9%,8.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Health,8,General Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9%,13.6%,39.5%,24.7%,17.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fair or Poor Health,8,General Health Fair to Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4%,81.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poor Mental Health 5+ Days,8,Days of Poor Mental Health - 5+ Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2%,82.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poor Mental Health 14+ Days,8,Days of Poor Mental Health - 14+ Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7%,91.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poor Physical Health 5+ Days,8,Days of Poor Physical Health - 5+ Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0%,83.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poor Physical Health 14+ Day,8,Days of Poor Physical Health - 14+ Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8%,89.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poor Physical Health 5+ Days,8,Days Poor Health Interfered With Usual Activities - 5+ Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0%,89.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hlth Affected Activ 14+ Days,8,Days Poor Health Interfered With Usual Activities - 14+ Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5%,93.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ever Had HIV Test,8,Ever Had HIV Test,35.2%,64.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kidney Disease,8,Kidney Disease,4.0%,96.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mammogram,8,Doctor Ever Recommended a Mammogram,8.6%,91.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mammogram,8,Miles From Work/Home to Closest Mammogram Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0%,26.3%,32.8%,12.3%,1.9%,0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mammogram,8,Miles From Work/Home Traveled for Most Recent Mammogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0%,29.0%,15.7%,12.8%,12.6%,0.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mammogram,8,Most Recent Mammography Was Recommended,76.1%,23.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poor Mental Health 5+ Days,8,Days Poor Mental Health Interfered With Activities - 5+ Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8%,,,,,,,,,,95.2%,,,,,,,,,,,,,,,,,,,,,,,,,,
Poor Mental Health 14+ Days,8,Days Poor Mental Health Interfered With Activities - 14+ Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8%,,,,,,,,,97.2%,,,,,,,,,,,,,,,,,,,,,,,,,
Insulin,8,Taking Medicine or Receiving Treatment for Mental Illness,10.7%,89.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentist Visit Past Year,8,Dentist Visit in the Past Year,62.3%,37.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RemoveTeeth,8,Number of Permanent Teeth Removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6%,7.0%,2.8%,60.5%,,,,,,,,,,,,,,,,,,,,,
Last Dentist Visit,8,Time Since Last Dentist Visit,,,,,,,,,,,,,,,,2.6%,,,,,,,62.3%,11.6%,,,11.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1%,,,,,,,,,,,,,,,,,,,,
Pre-Diabetes,8,Prediabetes,13.5%,84.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7%,,,,,,,,,,,,,,,,,,,
Diabetes Test,8,Tested for Diabetes or High Blood Sugar,54.4%,45.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr Rx Pain Talk,8,Ever Discussed Prostate-Specific Antigen Test Advantages,57.3%,42.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr Rx Pain Talk,8,Ever Discussed Prostate-Specific Antigen Test Disadvantages,28.3%,71.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ever Told High BP,8,Prostate-Specific Antigen Test Ever Recommended,49.4%,50.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mammogram Past 2 Yrs 40+,8,"Prostate-Specific Antigen Test in the Past 2 Years, Age 40+",57.3%,42.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DurationHomeBloodStoolTest,8,Time Since Last Prostate-Specific Antigen Test,,,,,,,,,,,,,,,,,,,,,,,64.8%,14.9%,7.5%,6.8%,6.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency of Smoking,8,Frequency of Seatbelt Use,,,,,,,,,,,,,,,,2.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.5%,4.9%,2.0%,0.4%,0.1%,,,,,,,,,,,,,,
Difficulty Doing Errands Alo,8,Activity on the Internet: Shopping,27.3%,72.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Smoker,8,Current Smoker,14.6%,85.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ever Smoked,8,Ever Smoked,37.3%,62.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency of Smoking,8,Frequency of Smoking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9%,19.3%,60.8%,,,,,,,,,,,
Quit Smoking in Past Yr,8,Quit Smoking in the Past Year,65.0%,35.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smokeless Tobacco Use,8,Smokeless Tobacco Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0%,2.1%,95.9%,,,,,,,,,,,
Smoker Status,8,Smoker Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4%,7.2%,22.7%,62.7%,,,,,,,
Last Smoked,8,Time Since Quit Smoking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5%,2.4%,4.7%,4.6%,22.8%,50.8%,0.4%
Served on Active Duty,8,Served On Active Duty in the United States Armed Forces,13.4%,86.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pneumonia Shot, 18+",11,Ever Had Pneumonia Shot,31.1%,68.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pneumonia Shot, 65+",11,"Ever Had Pneumonia Shot, Age 65+",67.3%,32.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu Shot in Past Year,11,Flu Shot in the Past Year,31.6%,68.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flu Shot, 18-64",11,"Flu Shot in the Past Year, Age 18-64",24.8%,75.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flu Shot, 65+",11,"Flu Shot in the Past Year, Age 65+",62.2%,37.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu Vaccine Location,11,Location of Flu Shot,,,33.8%,0.5%,4.6%,0.4%,0.1%,32.5%,0.0%,13.7%,0.2%,12.2%,1.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any Drinking Past Month,11,Any Drinking in the Past Month,38.6%,61.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binge Drinking,11,Binge Drinking in the Past Month,15.4%,84.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy Drinking - Females,11,"Binge Drinking or Heavy Alcohol Consumption, Females Age 18-44",12.6%,87.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy Drinking,11,Heavy Alcohol Consumption,5.1%,94.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy Drinking,11,"Heavy Alcohol Consumption, Females",3.1%,96.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy Drinking,11,"Heavy Alcohol Consumption, Males",7.6%,92.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Routine Checkup,11,Advised To Reduce or Quit Drinking,18.7%,81.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binge Drinking,11,Asked About Binge Drinking,33.4%,66.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Care Provider,11,Asked in Person or On A Form About Amount of Drinking,58.5%,41.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binge Drinking,11,Asked in Person or On A Form If Drinking Alcohol,70.8%,29.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthritis,11,Arthritis,20.0%,80.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asthma Status,11,Asthma Status,,,,,,,,,,,,,,5.8%,3.5%,90.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Asthma,11,Current Asthma,62.4%,37.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Asthma,11,Current Asthma Status,5.8%,94.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lifetime Asthma,11,Lifetime Asthma,9.5%,90.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMI 3 Categories,11,Body Mass Index (BMI) 3 Categories,,,,,,,,,,,,,,,,,41.7%,33.0%,25.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
