County,cve,outbreak,enrollment,population,PHR,pct_hispanic,pct_black,pct_white,pct_poverty,pct_uninsured,pct_college,median_income,pct_foreign_born
Taylor,2.61,0,39617,149153,2,25.1,8.1,67.2,10.6,14.1,29.3,NA,1.3
Terrell,0,0,114,737,9,40.1,0,69.8,3.2,15.2,26.9,NA,0
Terry,3.18,60,2086,11581,1,56.9,3.3,47.1,14.9,26.9,9.8,NA,0.2
Throckmorton,6.95,0,322,1587,2,10.3,0,88.8,19.2,20.6,22.4,NA,0
Titus,1.51,0,6972,31626,4,45,10.3,53.5,13.9,21.5,16.3,NA,0.6
Tom Green,2.21,0,20905,123326,9,40.6,3.9,63.1,7.6,15.5,25.5,NA,1.6
Travis,3.01,0,193926,1395906,7,32.6,8.2,54.9,7.1,12.1,56.6,NA,2.1
Trinity,2.08,0,2257,14510,5,11.2,8.1,78.8,12.8,16,16.8,NA,0.8
Tyler,3.08,0,3382,20574,5,8.4,10.7,77.9,11.1,15.7,12.4,NA,0.6
Upshur,5,5,7416,44174,4,10.4,7.2,79.3,10.1,13.8,18.2,NA,0.9
Upton,1.07,0,785,3296,9,54.7,1.2,46.9,11.3,18.8,8.7,NA,0.5
Uvalde,2.01,0,5085,24344,8,70.9,0.3,58.7,20.8,18.7,19.8,NA,1.1
Val Verde,0.53,0,9943,48163,8,81.2,1.4,49,13.7,17.5,22.5,NA,1.8
Van Zandt,4.71,0,10738,65449,4,13.4,2.3,84.3,8.3,18.4,19.8,NA,0.6
Victoria,1.43,0,13870,90845,8,48.1,5.9,56.6,11.2,17.2,19.9,NA,0.9
Walker,2.73,0,12513,80914,6,21.8,20.2,58.2,10.8,15.4,21.6,NA,1.5
Waller,2.06,0,14374,65997,6,33.5,23.6,44.6,10.2,20.1,27.9,NA,1.1
Ward,2.68,0,2338,11762,9,56.2,6.6,60.3,12.8,18.9,12.4,NA,1.2
Washington,2.75,0,5495,38024,7,18.5,14.2,66.8,9.2,14.5,30.7,NA,0.4
Webb,0.33,0,61575,277406,11,95,0.5,20.7,18.6,27.3,21.4,NA,1.6
Wharton,1.04,0,7729,42154,6,42,11.4,57.4,10.7,14.2,20.7,NA,0.7
Wheeler,3.75,0,985,4936,1,25.4,1.4,80.8,14,21.2,17,NA,0.8
Wichita,2.09,0,19355,128927,2,20.7,10.6,70.9,11.7,15.6,25.1,NA,1.4
Wilbarger,1.49,0,2110,12566,2,30.2,5.9,62.6,16.1,8.9,17.2,NA,1
Willacy,0.27,0,3889,20510,11,87.3,1.5,39.8,18.9,23.9,14,NA,1.5
Williamson,3.95,0,136040,737942,7,24.7,7,59.6,4.4,9.8,48.4,NA,2.1
Wilson,2.88,0,9448,56383,8,39.9,2,67.8,7.6,11,25.9,NA,1.4
Winkler,0.89,0,1777,7731,9,62.5,3.9,50.6,8.6,19,10.6,NA,1.4
Wise,5.92,0,10549,75954,3,21.1,1.7,80.2,5.9,14.9,22.2,NA,1.3
Wood,4.34,0,6349,47953,4,11.6,3.8,81.9,8.9,17.1,21.5,NA,0.7
Yoakum,2.35,1,1897,7519,1,65.6,0.1,45.2,12.7,22.5,20.1,NA,2.5
Young,3.47,0,3066,18024,2,20.5,0.8,81.6,13.3,18.6,24,NA,0.8
Zapata,0.06,0,3290,13963,11,93.9,0.1,21.1,35.7,27.6,15.2,NA,1.6
Zavala,0.15,0,2082,9546,8,92.6,0.8,22.1,30.6,14.9,11.1,NA,0.6
