Sheet,1,2,3,4,5,6,7,8,9,10,11,PHR1_pct_diff,PHR2_pct_diff,PHR3_pct_diff,PHR4_pct_diff,PHR5_pct_diff,PHR6_pct_diff,PHR7_pct_diff,PHR8_pct_diff,PHR9_pct_diff,PHR10_pct_diff,PHR11_pct_diff
Difficulty Doing Errands Alo - No,91.5,88.6,92.3,91.0,92.3,92.6,94.7,90.5,91.0,89.4,88.7,-2.9692,-1.8826,-1.4941,2.9412,-0.5388,-1.4894,,-3.1049,0.6637,-4.9947,-2.2051
Difficulty Doing Errands Alo - Yes,8.5,R,7.7,R,7.7,7.4,5.3,9.5,9.0,10.6,11.3,49.1228,,22.2222,,6.9444,23.3333,,43.9394,-6.25,79.661,21.5054
Difficulty Dressing - No,92.7,93.6,97.5,94.4,91.4,96.3,98.0,94.5,97.9,91.8,91.3,-4.7276,2.1834,1.1411,0.4255,-3.8906,-0.9259,,-1.357,6.5288,-4.375,-1.4039
Difficulty Dressing - Yes,7.3,R,2.5,R,R,3.7,2.0,5.5,R,8.2,8.7,170.3704,,-30.5556,,,32.1429,,30.9524,,105.0,17.5676
Difficulty Walking - No,84.0,80.4,87.8,82.5,81.5,88.1,89.9,85.7,84.5,77.4,86.5,-3.0023,5.9289,0.3429,1.7263,2.5157,2.4419,,0.9423,11.3307,-7.5269,7.721
Difficulty Walking - Yes,16.0,19.6,12.2,17.5,18.5,11.9,10.1,14.3,15.5,22.6,13.5,19.403,-18.6722,-2.4,-7.4074,-9.7561,-15.0,,-5.298,-35.6846,38.6503,-31.4721
Disability Status - No,64.6,59.2,70.4,71.0,65.3,72.1,72.7,66.8,67.1,59.5,66.4,-18.2278,-15.1862,-10.9987,3.1977,1.0836,-6.1198,,-14.359,1.6667,-18.9373,-7.0028
Disability Status - Yes,35.4,40.8,29.6,29.0,34.7,27.9,27.3,33.2,32.9,40.5,33.6,68.5714,35.0993,41.6268,-7.0513,-1.9774,20.2586,,50.9091,-3.2353,52.2556,17.4825
Dr Rx Pain Talk - No,33.8,41.8,38.8,35.8,36.1,51.2,37.9,40.9,R,52.7,50.7,,,,,,,,,,,
Dr Rx Pain Talk - Yes,66.2,58.2,61.2,64.2,63.9,48.8,62.1,59.1,70.4,47.3,49.3,,,,,,,,,,,
DurationClnscpySgmy - 5 or more years ago,N,N,N,,N,N,N,N,N,N,N,,,,,,,,,,,
DurationClnscpySgmy - Within the past 2 years,N,N,N,,N,N,N,N,N,N,N,,,,,,,,,,,
DurationClnscpySgmy - Within the past 3 years,N,N,N,,N,N,N,N,N,N,N,,,,,,,,,,,
DurationClnscpySgmy - Within the past 5 years,N,N,N,,N,N,N,N,N,N,N,,,,,,,,,,,
DurationClnscpySgmy - Within the past year,N,N,N,,N,N,N,N,N,N,N,,,,,,,,,,,
DurationHomeBloodStoolTest - 5 or more years ago,R,20.9,13.8,N,R,R,21.6,15.5,N,R,R,,-34.6875,-57.1429,,,,-42.246,-53.0303,,,
DurationHomeBloodStoolTest - Within the past 2 years,R,14.5,25.6,N,42.3,R,13.7,20.4,N,19.8,R,,-12.6506,115.1261,,80.0,,2.2388,4.0816,,1.5385,
DurationHomeBloodStoolTest - Within the past 3 years,R,R,10.4,N,R,R,R,R,N,R,R,,,-35.0,,,,,,,,
DurationHomeBloodStoolTest - Within the past 5 years,R,R,10.8,N,R,R,R,R,N,R,R,,,-7.6923,,,,,,,,
DurationHomeBloodStoolTest - Within the past year,46.5,36.8,39.4,N,32.6,44.4,43.7,43.2,N,43.7,61.1,57.6271,41.5385,39.7163,,-9.1922,45.5738,85.9574,64.2586,,-21.544,50.8642
E-Cig Ever - Every day,6.3,R,3.8,R,R,3.5,5.5,4.8,7.1,R,R,,,,,,,,,,,
E-Cig Ever - Never used e-cigarettes,71.2,71.4,75.8,69.6,70.5,75.0,71.1,72.8,59.6,75.6,68.9,,,,,,,,,,,
E-Cig Ever - Not at all (right now),18.5,19.1,17.2,21.3,20.6,19.0,19.3,18.4,28.2,13.5,22.3,,,,,,,,,,,
E-Cig Ever - Some days,4.0,4.4,3.2,R,R,2.5,4.1,4.0,5.0,6.1,6.2,,,,,,,,,,,
E-Cig Status - Current e-cig user - Every day,6.3,R,3.8,R,R,3.5,5.5,4.8,7.1,R,R,,,,,,,,,,,
E-Cig Status - Current e-cig user - Some days,4.0,4.4,3.2,R,R,2.5,4.1,4.0,5.0,6.1,6.2,,,,,,,,,,,
E-Cig Status - Former e-cig user,18.5,19.1,17.2,21.3,20.6,19.0,19.3,18.4,28.2,13.5,22.3,,,,,,,,,,,
E-Cig Status - Never used e-cigs,71.2,71.4,75.8,69.6,70.5,75.0,71.1,72.8,59.6,75.6,68.9,,,,,,,,,,,
Ever Had Blood Stool Test - No,14.5,11.3,14.5,R,R,16.0,11.5,16.2,R,17.5,R,-80.8454,-83.5994,-78.8937,,,-77.0774,-83.0383,-77.2152,,-76.4468,
Ever Had Blood Stool Test - Yes,85.5,88.7,85.5,85.2,71.9,84.0,88.5,83.8,55.3,82.5,79.8,251.8519,185.209,173.1629,160.5505,94.3243,178.1457,174.8447,189.9654,153.6697,221.0117,197.7612
Ever Had HIV Test - No,63.5,62.0,58.7,62.4,55.7,51.2,60.4,59.1,54.2,60.7,60.4,-9.6728,-19.2708,-5.7785,-7.1429,-18.2085,-18.601,3.2479,-8.7963,-18.7406,-4.1074,-11.6959
Ever Had HIV Test - Yes,36.5,38.0,41.3,37.6,44.3,48.8,39.6,40.9,45.8,39.3,39.6,22.8956,63.7931,9.5491,14.6341,38.8715,31.5364,-4.5783,16.1932,37.5375,7.0845,25.3165
Ever Had Sgmscpy-clnscpy - No,34.3,29.9,30.0,32.2,39.7,36.1,25.0,26.9,35.1,31.5,39.0,-17.7458,,,,,,-24.2424,-16.7183,,,-16.4882
Ever Had Sgmscpy-clnscpy - Yes,65.7,70.1,70.0,67.8,60.3,63.9,75.0,73.1,64.9,68.5,61.0,12.693,,,,,,11.9403,7.9764,,,14.4465
Ever Smoked - No,59.3,62.9,70.7,55.1,62.2,67.5,66.4,68.7,49.7,67.0,69.6,3.1304,10.3509,11.6904,0.3643,13.5036,-0.8811,5.7325,9.5694,-9.6364,9.4771,7.5734
Ever Smoked - Yes,40.7,37.1,29.3,44.9,37.8,32.5,33.6,31.3,50.3,33.0,30.4,-4.2353,-13.7209,-20.1635,-0.4435,-16.3717,1.8809,-9.6774,-16.0858,11.7778,-14.9485,-13.881
Ever Told High BP - No,62.4,52.5,62.0,50.8,57.7,64.4,65.2,62.5,68.5,62.3,68.0,,,,,,,,,,,
"Ever Told High BP - No, borderline
or pre-diabetes",R,R,0.7,0.0,R,R,R,R,R,R,R,,,,,,,,,,,
Ever Told High BP - Yes,34.1,44.7,35.2,48.8,41.9,33.5,33.2,35.2,29.1,36.3,30.3,,,,,,,,,,,
"Ever Told High BP - Yes, but during pregnancy",R,R,2.1,R,R,R,R,R,R,R,R,,,,,,,,,,,
FOBT Past Yr - No,89.7,90.2,90.7,87.2,92.4,90.6,89.9,90.6,91.8,87.5,85.1,980.7229,1027.5,1033.75,1017.9487,696.5517,991.5663,1262.1212,1141.0959,3300.0,525.0,659.8214
FOBT Past Yr - Yes,R,9.8,9.3,R,7.6,9.4,10.1,9.4,R,12.5,R,,-89.3478,-89.8913,,-91.4027,-89.7492,-89.1863,-89.8598,,-85.4651,
FOBT Past Yr IA - No,89.9,90.3,90.9,87.2,92.3,90.7,90.2,90.7,91.8,88.1,85.2,,,,,,,,,,,
FOBT Past Yr IA - Yes,R,9.7,9.1,R,7.7,9.3,9.8,9.3,R,11.9,R,,,,,,,,,,,
Fair or Poor Health - Fair or Poor Health,24.8,27.4,20.1,21.0,23.6,18.2,18.3,22.9,26.3,25.3,28.7,15.3488,3.0075,5.2356,-9.4828,-6.7194,-13.3333,,24.4565,15.3509,-2.3166,3.6101
