"","ntree","mtry","nodesize","maxnodes","RMSE","MAE","R2"
"216",300,20,20,10,0.286518723685526,0.150670596107797,0.101301175340154
"217",400,20,20,10,0.286358317916346,0.150055024060679,0.103614585954369
"218",500,20,20,10,0.286177186204749,0.150297953912466,0.0999961186095856
"219",600,20,20,10,0.286648347772329,0.149805108655558,0.0977046905080305
"220",700,20,20,10,0.285651550694018,0.150477839315423,0.11038201140924
"221",300,30,20,10,0.28931435693712,0.152079301561622,0.0770672211756638
"222",400,30,20,10,0.289484355967802,0.152376456778535,0.0763547054033262
"223",500,30,20,10,0.286544230676176,0.151587184273263,0.0993096758918965
"224",600,30,20,10,0.28999940454042,0.152955895236647,0.0766965694325571
"225",700,30,20,10,0.28672780305893,0.151538389531604,0.0970425608577664
"226",300,40,20,10,0.289276669005385,0.151510019353121,0.0742075820736639
"227",400,40,20,10,0.289321721099628,0.152899839640135,0.0820400969741326
"228",500,40,20,10,0.287728475236733,0.151585271156692,0.0887515530913632
"229",600,40,20,10,0.287636783340027,0.152454468354784,0.097700757530583
"230",700,40,20,10,0.288558971213018,0.151482086458971,0.0847975040533033
"231",300,50,20,10,0.287844772990875,0.15223874845311,0.0975376110785864
"232",400,50,20,10,0.289290207454679,0.152649987448935,0.0781953837222364
"233",500,50,20,10,0.287508906651056,0.150659990600877,0.0940387384493803
"234",600,50,20,10,0.288778019282566,0.152198222509497,0.0835921557805257
"235",700,50,20,10,0.289605499764944,0.152213910236782,0.0780137414230732
"236",300,60,20,10,0.292626170391038,0.153700884334434,0.0564098837569493
"237",400,60,20,10,0.292732723583049,0.153671970201472,0.0597725485731027
"238",500,60,20,10,0.290996825764066,0.153575543445846,0.0651992203422703
"239",600,60,20,10,0.288737529574388,0.152592972237053,0.0881434160992478
"240",700,60,20,10,0.290179653172151,0.153426925187506,0.0767202583276439
"241",300,10,5,15,0.286240020502508,0.146985489983073,0.0919185085893999
"242",400,10,5,15,0.285811253105376,0.147482655345218,0.101962655612129
"243",500,10,5,15,0.285764293381535,0.149310284607383,0.0913631942015843
"244",600,10,5,15,0.28466023167322,0.147046137593381,0.108408075034002
"245",700,10,5,15,0.285946969304456,0.147971091641322,0.0912021374433122
"246",300,20,5,15,0.283324570138512,0.148123433626395,0.118709008376422
"247",400,20,5,15,0.283390031136626,0.149280654533855,0.111896207657108
"248",500,20,5,15,0.282472442860696,0.147762669624416,0.12471694978117
"249",600,20,5,15,0.284713562855593,0.148422016819173,0.0997824506476852
"250",700,20,5,15,0.282728355452237,0.14772522933467,0.115954342599372
"251",300,30,5,15,0.286004222558805,0.149314701084686,0.0912153842713414
"252",400,30,5,15,0.283854937710613,0.148778040888848,0.104022992896197
"253",500,30,5,15,0.284035551883947,0.149568887048529,0.10911887969709
"254",600,30,5,15,0.28380518801705,0.149549152938718,0.109940322998494
"255",700,30,5,15,0.283184943960588,0.148979253923287,0.114414515488626
"256",300,40,5,15,0.281959265931726,0.147106343714597,0.125401065299207
"257",400,40,5,15,0.28574482520813,0.15089736278836,0.0935810039720796
"258",500,40,5,15,0.282055178456403,0.148670714052897,0.120142683480666
"259",600,40,5,15,0.284885214271387,0.151862357781801,0.0976891287345015
"260",700,40,5,15,0.285068314423895,0.150368731684621,0.0937798752035852
"261",300,50,5,15,0.287850596379713,0.152584400771454,0.0815925677829047
"262",400,50,5,15,0.285277660693192,0.149080675994112,0.094080734225116
"263",500,50,5,15,0.286647007636566,0.151776752967936,0.087065436201365
"264",600,50,5,15,0.286677788019429,0.150336343250059,0.0810023295085332
"265",700,50,5,15,0.28941546915309,0.152650982430755,0.069714473915751
"266",300,60,5,15,0.287654697053303,0.150372225858609,0.0797522774633889
"267",400,60,5,15,0.287455332090496,0.151161512140515,0.0743587976424724
"268",500,60,5,15,0.28618528588694,0.151296398069709,0.0864160887683125
